Category,representative_words
Relationship,conflict with partner;conflict with family;relationship dissatisfaction;family dynamics;sex and intimacy;relationship stress
Occupational,job loss;job dissatisfaction;career;work schedule;conflict with boss;conflict with colleague;night shift;work hours;job responsibility;work condition;burnout;high workload;unemployed
Financial,poverty;loss of income;debt problem;financial insecurity;living cost;foreclosure;eviction;savings;medical cost
Environmental,cyclone;flood;heatwave;bushfire;severe storms;heatwaves;droughts;dust storm;land degradation;soil erosion
